Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
1,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BNA,"Nashville, TN",TN,Tennessee,US,United States,2000,5
159,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,4
141,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,5
204,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,6
245,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,7
168,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,8
153,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,9
35,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2001,10
130,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,BOS,"Boston, MA",MA,Massachusetts,US,United States,2003,10
100,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2000,10
1200,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2000,11
1418,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2000,12
1654,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,1
2290,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,2
2290,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,3
112,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,10
687,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,11
1832,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2001,12
1454,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,1
1510,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,2
2096,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,3
1331,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,4
1423,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,5
62,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,6
526,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,7
2086,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,8
1353,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,9
751,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,10
768,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2002,12
1790,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2003,1
1352,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2003,2
58,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2009,10
331,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2009,11
547,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,DTW,"Detroit, MI",MI,Michigan,US,United States,2009,12
425,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,1
477,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,2
414,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,3
476,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,4
444,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,5
406,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,6
408,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,7
408,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,8
406,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,9
358,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,EWR,"Newark, NJ",NJ,New Jersey,US,United States,2000,10
1,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,LAS,"Las Vegas, NV",NV,Nevada,US,United States,2002,6
16,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MEM,"Memphis, TN",TN,Tennessee,US,United States,2000,4
9,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MEM,"Memphis, TN",TN,Tennessee,US,United States,2000,5
1,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MEM,"Memphis, TN",TN,Tennessee,US,United States,2001,4
793,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2002,6
491,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2002,7
11,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2002,10
394,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2002,11
299,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2002,12
128,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,2
457,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,3
520,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,4
530,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2003,5
